Method,BM25_Weight,Precision@5,MRR,Hit@5,nDCG,Avg_Similarity
SW_0,0.3,0.19999999999999998,0.6226415094339622,0.6792452830188679,0.9720534250501849,0.4734221
SW_0,0.5,0.19245283018867926,0.628930817610063,0.6792452830188679,0.9670213988794023,0.45040172
SW_0,0.7,0.18867924528301888,0.590251572327044,0.6792452830188679,0.9547757426841594,0.43755734
SW_20,0.3,0.24528301886792453,0.5761006289308176,0.6415094339622641,0.9732255551902353,0.48826614
SW_20,0.5,0.2377358490566038,0.5754716981132075,0.6415094339622641,0.9690830764493698,0.4726034
SW_20,0.7,0.21509433962264152,0.560377358490566,0.6226415094339622,0.9651688980644602,0.45738178
SW_50,0.3,0.34716981132075475,0.6477987421383649,0.7547169811320755,0.9734973457124196,0.5213551
SW_50,0.5,0.3358490566037736,0.6547169811320755,0.7547169811320755,0.9659909112184162,0.5102561
SW_50,0.7,0.31320754716981136,0.6144654088050314,0.7169811320754716,0.962242008279147,0.4892096
Semantic,0.3,0.32830188679245287,0.7066037735849057,0.8679245283018868,0.9436992985245323,0.53403634
Semantic,0.5,0.3018867924528302,0.6358490566037737,0.8301886792452831,0.937149203985445,0.49930274
Semantic,0.7,0.24528301886792453,0.6044025157232704,0.7547169811320755,0.9436795637291409,0.46716887
Topic,0.3,0.2792452830188679,0.6547169811320755,0.7735849056603774,0.9517082426798581,0.49440816
Topic,0.5,0.2528301886792453,0.6333333333333333,0.7547169811320755,0.9375937895510483,0.46568453
Topic,0.7,0.2037735849056604,0.5672955974842767,0.6981132075471698,0.9371855709066934,0.43370414
